,Ward_Alphabet,Ward_Names,Land_Area
0,A,Colaba,12.5
1,B,Sandhurst Road,2.5
2,C,Marine Lines,1.8
3,D,Grant Road,6.6
4,E,Byculla,7.4
5,F/N,Matunga,13.0
6,F/S,Parel,14.0
7,G/N,Dadar/Plaza,9.1
8,G/S,Elphinstone,10.0
9,H/E,Khar/Santacruz,13.5
10,H/W,Bandra,11.6
11,K/E,Andheri (East),24.8
12,K/W,Andheri (West),23.4
13,L,Kurla,15.9
14,M/E,Chembur,32.5
15,M/W,Chembur (West),19.5
16,N,Ghatkopar,26.0
17,P/N,Malad,19.1
18,P/S,Goregaon,24.4
19,R/C,Borivali,50.0
20,R/N,Dahisar,18.0
21,R/S,Kandivali,17.8
22,S,Bhandup,64.0
23,T,Mulund,45.4
